File Size,Mean,Error,StdDev,Allocated Memory
8 MB,112.1,1.26,1.18,209.87
16 MB,225.2,1.93,1.8,274.09
32 MB,445.0,2.18,1.93,435.72
64 MB,905.0,3.99,3.33,727.14
128 MB,1811.2,6.65,6.22,1345.11
256 MB,3579.8,17.83,16.68,2577.06
513 MB,7254.4,25.06,23.44,5043.93
1.03 GB,14526.1,53.56,44.73,9988.16
2.06 GB,28749.2,138.77,129.8,19826.22
4.11 GB,58350.8,181.84,170.09,39529.69
8.24 GB,116838.8,489.66,458.03,78913.04
16.49 GB,235706.8,751.49,666.17,158907.53
32.99 GB,477262.5,372.39,348.34,317696.39
