File Size,Mean,Error,StdDev,Allocated Memory
8 MB,111.1,0.65,0.61,274.02
16 MB,225.1,1.62,1.51,436.47
32 MB,447.2,1.52,1.35,728.84
64 MB,900.8,5.33,4.98,1347.59
128 MB,1797.0,12.1,11.32,2581.5
256 MB,3591.3,18.47,17.28,5014.72
513 MB,7220.6,28.15,23.51,9887.53
1.03 GB,14486.3,62.81,58.75,19628.17
2.06 GB,28971.1,103.95,92.15,39134.13
4.11 GB,58147.0,243.5,227.77,78106.81
8.24 GB,115997.9,609.14,539.98,155963.2
16.49 GB,239249.0,790.6,739.53,315868.6
32.99 GB,475768.4,2384.11,2230.1,631650.97
