File Size,Mean,Error,StdDev,Allocated Memory
8 MB,112.3,5.16,1.84,145.18
16 MB,226.0,3.75,1.34,145.18
32 MB,449.1,3.71,0.57,177.8
64 MB,906.3,7.38,1.14,242.77
128 MB,1806.2,29.24,4.52,372.79
256 MB,3627.0,24.5,6.36,633.35
513 MB,7255.9,24.48,6.36,1116.96
1.03 GB,14480.0,235.96,61.28,2121.08
2.06 GB,28864.8,424.25,65.65,4097.48
4.11 GB,58241.2,643.9,167.22,8085.27
8.24 GB,116211.2,3478.39,1240.43,16026.47
16.49 GB,233600.9,3630.39,942.8,31972.6
32.99 GB,472142.3,5396.36,1401.42,63813.71
