File Size,Mean,Error,StdDev,Allocated Memory
8 MB,111.6,2.4,0.86,145.18
16 MB,224.8,6.23,2.22,177.43
32 MB,447.3,8.89,3.17,242.03
64 MB,906.0,8.85,2.3,371.93
128 MB,1812.6,17.03,4.42,632.58
256 MB,3607.1,57.78,15.01,1117.21
513 MB,7254.9,51.14,13.28,2120.14
1.03 GB,14552.6,96.16,14.88,4095.09
2.06 GB,28798.9,489.51,75.75,8048.32
4.11 GB,58243.6,243.02,63.11,15985.77
8.24 GB,116718.5,1142.09,296.6,31847.08
16.49 GB,235389.1,4179.46,1085.39,63757.53
32.99 GB,470618.2,6305.61,975.8,127359.36
