File Size,Mean,Error,StdDev
8 MB,59.64,0.494,0.438
16 MB,118.76,0.842,0.746
32 MB,233.52,0.642,0.601
64 MB,473.75,0.788,0.699
128 MB,945.54,10.219,7.978
256 MB,1859.42,2.121,1.88
513 MB,3782.91,3.998,3.74
1.03 GB,7452.23,17.493,15.507
2.06 GB,14653.47,9.221,7.7
4.11 GB,29267.96,11.792,9.206
8.24 GB,58953.16,223.155,186.345
16.49 GB,125582.83,109.518,85.504
32.99 GB,252297.79,393.45,348.783
