File Size,Mean,Error,StdDev,Allocated Memory
8 MB,112.6,5.86,0.91,145.18
16 MB,221.9,15.25,0.84,145.18
32 MB,444.3,14.2,2.2,145.18
64 MB,906.2,15.36,0.84,145.18
128 MB,1782.7,66.89,10.35,145.18
256 MB,3572.3,163.73,8.97,177.24
513 MB,7243.2,201.49,31.18,241.95
1.03 GB,14325.4,303.7,47.0,339.15
2.06 GB,28806.3,511.9,79.22,533.42
4.11 GB,57625.4,2075.11,321.13,923.89
8.24 GB,115486.3,4091.54,633.17,1734.82
16.49 GB,233421.2,14139.1,775.01,3324.08
32.99 GB,472545.9,6993.97,1082.32,6503.6
