File Size,Mean,Error,StdDev,Allocated Memory
8 MB,111.3,3.34,0.87,145.18
16 MB,226.6,7.26,1.88,145.18
32 MB,447.4,9.8,2.54,145.18
64 MB,897.9,15.17,2.35,177.26
128 MB,1813.7,19.45,5.05,242.16
256 MB,3585.8,106.85,16.54,371.73
513 MB,7227.5,232.45,60.37,633.04
1.03 GB,14504.2,203.11,52.75,1118.21
2.06 GB,28912.9,362.55,56.1,2123.64
4.11 GB,57513.2,859.87,47.13,4098.83
8.24 GB,115910.8,2292.51,354.77,8085.63
16.49 GB,236040.4,3117.33,809.56,16065.02
32.99 GB,473112.9,5591.0,1451.96,31981.33
